# 意味分類表(見出し語と分類番号の対応)。部門だけを持つ検証用の表である。
# 出典は日本語 WordNet (1.1) と Princeton WordNet 3.0 である。
# 日本語 WordNet の取得元は
# https://github.com/bond-lab/wnja/releases/download/v1.1/wnjpn-ok.tab.gz である。
# Princeton WordNet 3.0 の取得元は
# https://wordnetcode.princeton.edu/3.0/WNdb-3.0.tar.gz である。
# 日本語 WordNet の利用条件は https://bond-lab.github.io/wnja/license.txt にある。
# 分類番号の小数点以下第 1 位だけが意味を持ち、残りの 3 桁は 0 で埋めてある。
# 部門は Princeton WordNet の lexname から写した。
# 版: wnja-1.1+pwn-3.0
$	1.1000	1.3000
%	1.1000
SPレコード	1.4000
SP盤	1.4000
SS	1.2000
Sn	1.4000	1.5000
TB	1.1000	1.5000
TCP/IP	1.3000
TEL	1.4000
TNF	1.4000	1.5000
Tシャツ	1.4000
UNIX	1.3000
UNIXオペレーティングシステム	1.3000
UNIXシステム	1.3000
Unix	1.3000
Unixオペレーティングシステム	1.3000
Unixシステム	1.3000
VIP	1.2000
W.C.	1.4000
WAN	1.4000
WC	1.4000
WLAN	1.4000
Wi-Fi	1.4000
WiFi	1.4000
XORゲート	1.4000
XOR回路	1.4000
X線療法	1.3000
X脚	1.1000	1.5000
Yシャツ	1.4000
a	1.1000
abb	1.2000
abo式血液型	1.3000
acc	1.2000
acre	1.1000
adh	1.5000
afl	1.2000
ag	1.4000	1.5000
alb	1.4000
alt	1.1000
ascii	1.3000
ascii文字	1.3000
atf	1.2000
atm	1.1000
b.b.キング	1.2000
bar	1.3000	1.4000
bb	1.4000
bbs	1.4000
bh	1.4000	1.5000
bi	1.4000	1.5000
bos	1.5000
bot	1.5000
bpi	1.1000	1.3000
bpm	1.1000
bps	1.1000
bw	1.3000
b細胞	1.5000
c	1.1000	1.4000	1.5000
cbc	1.3000
cbr	1.5000
cc	1.1000
cd	1.4000
cdc	1.2000
ce	1.4000	1.5000
cio	1.2000
cm	1.1000
cnタワー	1.4000
coo	1.1000	1.3000
cosec	1.1000
cpa	1.2000
ct	1.3000
cu	1.4000	1.5000
cレーション	1.4000
c・s・ルイス	1.2000
c反応性蛋白	1.4000	1.5000
d-ツボクラリン	1.4000	1.5000
d-デイ	1.1000
da	1.2000
dearest	1.2000
dl	1.1000
dna型鑑定	1.3000
dp	1.2000
d・h・ローレンス	1.2000
ebs	1.1000
ect	1.3000
ed.d.	1.3000
ee	1.3000
elisa	1.3000
eq	1.1000	1.3000
ev	1.1000
fad	1.4000	1.5000
fae	1.4000
faq	1.3000
fcs	1.2000
fe	1.4000	1.5000
fet	1.4000
fifo	1.3000
fmri	1.3000
ft	1.1000
ftp	1.3000
f・スコット・フィッツジェラルド	1.2000
g	1.1000
gal	1.1000
gc	1.1000
gimp	1.1000	1.5000
gp	1.2000
gpo	1.2000
gsr	1.3000
gy	1.1000
h	1.1000	1.3000
hb	1.4000	1.5000
hdl	1.4000	1.5000
hn	1.4000	1.5000
homebrew	1.4000
hq	1.4000
http	1.3000
ia	1.1000	1.2000	1.5000
ic	1.2000
idf	1.2000
ifc	1.2000
imu	1.2000
in	1.1000
java	1.3000
